PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,ST_NAME_SUF,UNIT_NUM,ZIPCODE,PTYPE,LU,OWN_OCC,OWNER,MAIL_ADDRESSEE,MAIL_ADDRESS,MAIL CS,MAIL_ZIPCODE,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,S_NUM_BLDG,S_BLDG_STYL,S_UNIT_RES,S_UNIT_COM,S_UNIT_RC,S_EXT_FIN,S_EXT_CND,U_BASE_FLOOR,U_NUM_PARK,U_CORNER,U_ORIENT,U_TOT_RMS,U_BDRMS,U_FULL_BTH,U_HALF_BTH,U_BTH_STYLE,U_BTH_STYLE2,U_BTH_STYLE3,U_KITCH_TYPE,U_KITCH_STYLE,U_HEAT_TYP,U_AC,U_FPLACE,U_INT_FIN,U_INT_CND,U_VIEW,Berdo_Address,ZIP,EUI
0400905000_,nan,0400905000_,120,HUNTINGTON,AV,nan,02116_,300,C,N,MERCURY HUNTINGTON CORP TS,C/O JUDITH MCMANUS ,50 FEDERAL ST #1000,BOSTON MA,02110_,18488300,42121200,60609500,153766302,38037,1971,2006,278368,244588,13,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120 Huntington Avenue,2116,107.8
0400572000_,nan,0400572000_,131,DARTMOUTH,ST,nan,02116_,347,C,N,FHF I 131 DARTMOUTH LLC,C/O FHF I 131 DARTMOUTH LLC,28 STATE ST 10TH FL,BOSTON  MA,02109_,12899401,44678909,57578310,146076172,20232,2001,2007,609000,417000,11,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,131 Dartmouth Street,2116,91.7
0401129012_,0401129010_,0401129010_,400,STUART,ST,15-A,02116_,102,CD,Y,SMITH JARROD,C/O JOHN M CONNOLLY,400 STUART ST #15-A,BOSTON MA,02116_,0,2097900,2097900,2221676,1409,2009,nan,1409,1409,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,1,N,M,4,2,2,0,L,L,nan,O,L,P,C,0,E,E,E,135 Clarendon Street / 400 Stuart Street,2116,52.3
0501198000_,nan,0501198000_,15,NEWBURY,ST,nan,02116_,985,E,N,EMANUEL CHURCH, ,15 NEWBURY,BOSTON MA,02116_,11221700,14583400,25805100,0,22093,1899,1998,64600,48450,3,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15 Newbury Street,2116,54.2
0501412000_,nan,0501412000_,150,NEWBURY,ST,nan,02116_,976,E,N,CITY OF BOSTON, ,150 NEWBURY,BOSTON MA,02116_,6875100,11223900,18099000,0,8736,1899,1985,45500,36400,4,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150 Newbury St.,2116,49.1
0500027000_,nan,0500027000_,162,BOYLSTON,ST,nan,02116_,344,C,N,B MINOR LLC,TAURUS MANAGEMENT SERVICES,22 BATTERYMARCH ST,BOSTON   MA,02109_,1146561,2945304,4091865,10381062,4938,1899,nan,45052,38346,6,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,162 Boylston Street,2116,45.3
0501155000_,nan,0501155000_,175,BERKELEY,ST,nan,02116_,345,C,N,BERKELEY /ST JAMES R E LLC,C/O JEANNE BRAGG DIR / LMI,175 BERKELEY   MAIL07N,BOSTON MA,02116_,11150353,29953622,41103975,104280785,31777,nan,nan,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,175 Berkeley St.,2116,74.1
0502598000_,0502598000_,0502598000_,180,BEACON,ST,nan,02116_,995,CM,N,WASSERMAN MAX TRSTS, ,180 BEACON,BOSTON MA,02116_,0,0,0,0,18849,1999,2015,0,0,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,HR,113,1,0,B,G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,180 beacon street,2116,59
0400206000_,0400206000_,0400206000_,2,CLARENDON,ST,nan,02116_,995,CM,N,TWO CLARENDON SQ CONDO TR,C/O ROGER E TACKEFF TS,2 CLARENDON ST,BOSTON         MA,02116_,0,0,0,0,12500,1999,2015,0,0,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,MR,60,0,0,B,G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2 Clarendon Street,2116,40.8
1503057000_,nan,1503057000_,20,CHURCH,ST,nan,02122_,105,R3,Y,CORREIA JACINTO P, ,20 CHURCH ST,DORACHESTER MA,02122_,148400,347000,495400,524628,2815,1905,0,6011,3939,3,R,DK,F,A,18,9,3,0,S,S,S,3,S,S,S,W,N,0,A,A,A,N,G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20 Church St.,2116,43
0401134000_,nan,0401134000_,200,CLARENDON,ST,nan,02116_,348,C,N,BP HANCOCK LLC,C/O NORMANDY RE PARTNERS LLC,200 CLARENDON ST,BOSTON MA,02116_,154271300,614297700,768569000,1949859553,73143,1976,2012,1976650,1885420,62,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200 Clarendon Street,2116,92
0503201000_,nan,0503201000_,200,NEWBURY,ST,nan,02116_,322,C,N,TWO HUNDRED NEWBURY ST CORP, ,200 NEWBURY ST 4TH FL,BOSTON MA,02116_,16002600,22694900,38697500,98175558,17677,1997,2013,52403,43155,4,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200 Newbury Street,2116,43.6
0503228000_,0503228000_,0503228000_,201,NEWBURY,ST,nan,02116_,995,CM,N,PRINCE ON NEWBURY CONDO TR,C/O BOBBY CLARK INC,437 BOYLSTON ST #400 &,BOSTON MA,02116_,0,0,0,0,22960,1999,2015,0,0,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,MR,36,1,0,B,G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,201 Newbury Street,2116,33.6
0401091000_,nan,0401091000_,206,CLARENDON,ST,nan,02116_,985,E,N,TRINITY CH PROPRIETORS, ,206 CLARENDON,BOSTON MA,02116_,40372900,85760000,126132900,0,45508,1899,2004,65880,46259,3,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,206 Clarendon Street,2116,63284.2
0503380000_,nan,0503380000_,217,COMMONWEALTH,AV,nan,02116_,13,RC,N,NEW ALGONQUIN CLUB, ,217 COMMONWEALTH AVE,BOSTON MA,02116_,6075700,5561800,11637500,26969304,10209,1899,1982,42660,36370,6,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,217 Commonwealth Avenue,2116,122.9
0501376000_,nan,0501376000_,26,EXETER,ST,nan,02116_,351,C,N,EXETER THEATRE CORPORATION,C/O EXETER THEATRE CORP,645 BEACON ST,BOSTON MA,02215_,11106100,20817400,31923500,81014920,12320,1899,2015,56518,47388,5,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26 Exeter Street,2116,215.6
0305651001_,nan,0305651000_,270,TREMONT,ST,nan,02116_,364,C,N,CITI PERFORMING ARTS CENTER,C/O CITI PERFORMING ARTS  ,270 TREMONT ST ,BOSTON MA,02116_,0,5359000,5359000,13595783,nan,0,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270 Tremont Street,2116,27327180
0503271000_,nan,0503271000_,282,BEACON,ST,nan,02116_,112,A,N,BEACON EXETER APART INC,C/O MEDIATE MANAGEMENT CO,4 BUNKER HILL IND'L PARK,BOSTON MA,02129_,4805800,14333700,19139500,20268731,7500,1934,2016,39743,36130,10,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,282 Beacon St.,2116,14.5
0502875000_,nan,0502875000_,29,COMMONWEALTH,AV,nan,02116_,344,C,N,TWENTY NINE COMMONWEALTH,C/O CAPITAL PROPERTIES,115 BROADWAY 21ST FL,NEW YORK NY,10006_,2601400,7700600,10302000,26136174,3984,1899,2007,40106,40106,11,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29 Commonwealth Ave,2116,45.2
0501170000_,0501170000_,0501170000_,300,BOYLSTON,ST,nan,02116_,995,CM,N,HERITAGE ON GARDEN CONDO TR, ,75 PARK PLZ,BOSTON MA,02116_,0,0,0,0,45954,1999,2014,0,0,12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,HR,87,1,0,B,E,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,300 Boylston Street,2116,93.1
0400972000_,nan,0400972000_,32,GARRISON,ST,nan,02116_,113,A,N,UDR GARRISON SQUARE LLC,C/O UDR PROPERTY TAX DEPT,1745 SHEA CENTER DR STE 200,HIGHLANDS RANCH CO,80129_,16525522,34009804,50535326,53516910,29328,1990,2011,115806,96505,5,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32 Garrison Street,2116,52.5
0401117000_,nan,0401117000_,350,STUART,ST,nan,02116_,300,C,N,LBV HOTEL  LLC,C/O LOEWS BOSTON HOTEL,350 STUART ST,BOSTON  MA,02116_,17044900,41378100,58423000,148219151,17234,1899,2013,189200,172000,10,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,350 Stuart Street,2116,117.5
1900686000_,1900686000_,1900686000_,39,BOYLSTON,ST,nan,02130_,995,CM,N,THIRTY NINE BOYLSTON STREET, ,39 BOYLSTON ST,JAMAICA PLAIN MA,02130_,0,0,0,0,4945,1999,2002,0,0,2,R,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FS,2,0,0,F,G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39 Boylston St. ,2116,70
0501230000_,nan,0501230000_,399,BOYLSTON,ST,nan,02116_,346,C,N,BRE BOYLSTON OWNER LLC,C/O  PROPERTY  TAX  DEPARTME,PO  BOX  A-3879,CHICAGO      IL,60690_,13583700,68947800,82531500,209382416,23042,1983,2013,251328,233376,13,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,399 Boylston St,2116,73.3
0500865000_,nan,0500865000_,40,BERKELEY,ST,nan,02116_,13,RC,N,MVC 40B LLC,C/O THE MOUNT VERNON CO INC,29 COMMONWEALTH AV  6TH FL,BOSTON MA,02116_,4767200,13617800,18385000,28985276,12996,1899,2012,76077,67624,8,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40 Berkeley St,2116,132.5
0401084010_,nan,0401084010_,430,STUART,ST,nan,02116_,344,C,N,TRINITY STUART LLC,C/O ANDREW BEDNARZH,710 BOYLSTON ST,BOSTON MA,02116_,4695900,8338600,13034500,33068527,13361,1925,2004,90692,79512,8,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,430 Stuart St.,2116,70.5
0401088000_,nan,0401088000_,441,STUART,ST,nan,02116_,345,C,N,STUART STREET HOLDINGS  LLC,C/O STUART ST HOLDINGS LLC,100 FRANKLIN ST  STE:200,BOSTON   MA,02110_,12208600,29703400,41912000,106355744,20044,1927,2013,177766,155408,11,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,441 stuart st,2116,45.8
0501295000_,nan,0501295000_,463,BOYLSTON,ST,nan,02116_,320,C,N,TWO 34 BERKELEY ST LLC,C/O WS ASSET MANAGEMENT INC,33 BOYLSTON ST STE 3000,CHESTNUT HILL MA,02467_,29471400,10180600,39652000,100622124,43843,1899,2013,41264,30948,3,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,463 Boylston Street,2116,90
1900340000_,nan,1900340000_,48,BOYLSTON,ST,nan,02130_,111,R4,N,LUMEN PROPERTIES LLC,C/O JAMES SAVAGE  RA,90 BURR DRIVE,NEEDHAM  MA,02492_,288800,825200,1114000,1179726,4840,1905,1975,6656,4992,3,D,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48 Boylston St. ,2116,18
1804484000_,nan,1804484000_,5,WEST,ST,nan,02136_,401,I,N,LYDON MATHIAS A,C/O 1-5 WEST ST REALTY TR,PO BOX 366343,BOSTON MA,02136_,47225,24701,71926,182476,4823,1955,1965,480,480,1,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5 Oak Street West,2116,122.8
0501296002_,0501296000_,0501296000_,501,BOYLSTON,ST,A,02116_,358,CC,N,TEACHERS INSURANCE AND ,C/O CB RICHARD ELLIS,501 BOYLSTON ST  ,BOSTON MA,02116_,0,76627000,76627000,194402699,234190,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501 Boylston Street,2116,85.8
0500815020_,0500815020_,0500815020_,505,TREMONT,ST,nan,02116_,995,CM,N, ATELIER 505 CONDO TRST,C/O THE ATELIER COND TRST,505 TREMONT ST,BOSTON MA,02116_,0,0,0,0,63716,2003,nan,0,0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MR,103,2,0,B,E,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,505 Tremont St,2116,128.9
0501388000_,nan,0501388000_,645,BOYLSTON,ST,nan,02116_,970,E,N,OLD SO CHURCH IN BOSTON, ,645 BOYLSTON,BOSTON MA,02116_,2308700,1519800,3828500,0,2800,1899,2015,11550,9625,5,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,645 Boylston Street,2116,52.4
0502872000_,nan,0502872000_,66,MARLBOROUGH,ST,nan,02116_,985,E,N,FIRST CHURCH IN BOSTON, ,66 MARLBOROUGH,BOSTON MA,02116_,1018400,1353600,2372000,0,2800,1899,2012,6340,4755,3,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,66 Marlborough St.,2116,63.6
0503207100_,nan,0503207100_,745,BOYLSTON,ST,nan,02116_,346,C,N,CHIUS REAL ESTATE LLC,C/O UPLAND CAPITAL CORPORATI,745 BOYLSTON ST,BOSTON MA,02116_,18147200,23782300,41929500,106400142,17199,1920,2012,125328,110988,8,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,745 Boylston Street,2116,14.9
1807523000_,nan,1807523000_,75,ARLINGTON,ST,nan,02136_,101,R1,Y,BARBOSA MARIA A,C/O MARIA A BARBOSA,75 ARLINGTON ST,HYDE PARK MA,02136_,200500,207200,407700,431754,11537,1925,0,2540,1528,2,R,CL,H,M,7,3,1,1,S,S,nan,1,M,nan,nan,W,N,0,A,A,A,N,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75 Arlington Street,2116,52.1
0503207200_,nan,0503207200_,755,BOYLSTON,ST,nan,02116_,31,RC,N,SEVEN 55 BOYLSTON LLC,C/O HEATH PROPERTIES,74 CLARENDON ST SUITE A,BOSTON MA,02116_,10087600,14116900,24204500,45333403,7245,1899,2013,61182,54384,8,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,755 Boylston Street,2116,99.2
0503210000_,nan,0503210000_,761,BOYLSTON,ST,nan,02116_,320,C,N,BOYLSTON AND GLOUCESTER LLC,C/O JOLENE SARKIS,200 WHEELER RD #210,BURLINGTON MA,01803_,3638615,6124305,9762920,24768528,3920,1905,2000,55720,41440,3,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,761 Boylston Street,2116,305.3
0401037085_,nan,0401037085_,77,EXETER,ST,nan,02116_,13,RC,N,BP PRUCENTER  EXETER  LLC,C/O AVALON BAY TAX,671 N GLEBE RD STE# 800,ARLINGTON  VA,22203_,25331400,95671600,121003000,129935601,11396,2012,nan,315915,293107,28,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,77 Exeter Street,2116,49.3
0401011002_,0401011000_,0401011000_,8,GARRISON,ST,103,02116_,102,CD,N,SHERTER SIDNEY,C/O MODICA ASSOCIATES,131 PARK DR,BOSTON MA,02215_,0,342400,342400,362602,530,1910,1983,530,530,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,N,F,2,1,1,0,M,nan,nan,O,M,W,N,0,N,G,P,8 Garrison St,2116,62.1
0801027050_,nan,0801027050_,100,SOUTHAMPTON,ST,nan,02118_,312,C,N,SASHA LIMITED PARTNERSHIP,C/O SIMI,P O BOX 198,STILLWATER NN,55082_,3804500,2103000,5907500,14987328,82626,1953,1985,2400,2400,1,D,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100 Southampton St,2118,31.1
1600660000_,nan,1600660000_,100,PARK,ST,nan,02122_,132,RL,N,THAI DUSTIN D,C/O DUSTIN THAI ,P O BOX 220101,DORCHESTER MA,02122_,22900,0,22900,24251,2771,0,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100 Union Park St,2118,158.4
1704156001_,nan,1704156001_,1000,WASHINGTON,ST,nan,02124_,101,R1,Y,NGUYEN KIMBERLY,C/O KIMBERLEY NGUYEN,1000 WASHINGTON ST,DORCHESTER MA,02124_,119800,187900,307700,325854,4664,1958,0,2536,1184,1,R,RN,G,M,6,4,1,1,S,M,nan,2,S,M,nan,W,N,1,A,A,A,N,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1000 Washington Street,2118,82.4
2203422000_,nan,2203422000_,11,NEWTON,ST,nan,02135_,101,R1,Y,CARPENTER AMY L, ,11 NEWTON ST,BRIGHTON MA,02135_,116500,461400,577900,611996,2852,1865,0,2843,2390,2,R,SD,M,B,7,3,2,1,M,M,S,1,S,nan,nan,W,N,0,A,A,A,N,F,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11 East Newton Street,2118,78.9
0306175000_,nan,0306175000_,120,SHAWMUT,AV,nan,02118_,985,E,N,BOSTON CHINESE EVANGELICAL, BOSTON CHINESE EVANGELICAL ,120 SHAWMUT AVENUE,BOSTON MA,02118_,2465900,1209100,3675000,0,21268,1985,1995,36446,34162,3,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120 Shawmut Ave,2118,58.5
0306010012_,0306010010_,0306010010_,1313,WASHINGTON,ST,101,02118_,102,CD,Y,GORDON MARK D, ,1313 WASHINGTON ST # 101,BOSTON MA,02118_,0,467438,467438,495016,691,2002,2002,691,691,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,N,A,2,1,1,0,S,nan,nan,O,S,F,C,0,N,G,A,1313 Washington Street,2118,50.5
